"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
8023864,"202510",NA,NA,NA
8024720,"202510",NA,NA,NA
8024720,"202520",NA,NA,NA
8026176,"202510",0,3,3
8034088,"202510",0,7,7
8035324,"202510",0,4,4
8035775,"202510",0,32,32
8035951,"202510",0,0,0
8036132,"202510",NA,NA,NA
8036194,"202510",0,26,26
8036672,"202510",0,17,17
8036698,"202510",1,1,1
8036831,"202510",NA,NA,NA
8036913,"202510",0,9,9
8037690,"202510",0,0,0
8037772,"202510",0,41,41
8038501,"202510",0,4,4
8038546,"202510",NA,NA,NA
8038562,"202510",0,3,3
8039303,"202510",0,37,37
8039444,"202510",0,42,42
8039868,"202510",0,11,11
8040059,"202510",0,6,6
8040075,"202510",NA,NA,NA
8040219,"202510",0,6,6
8040552,"202510",NA,NA,NA
8041080,"202510",0,19,19
8041446,"202510",1,7,7
8041471,"202510",0,41,41
8041471,"202520",NA,NA,41
8041624,"202510",0,24,24
8042057,"202510",1,20,20
8043161,"202510",0,10,10
8043208,"202510",0,15,15
8043424,"202510",NA,NA,NA
8043792,"202510",1,17,17
8043826,"202510",0,0,0
8044066,"202510",NA,NA,NA
8045712,"202510",0,34,34
8045712,"202520",NA,NA,34
8046171,"202510",0,13,13
8046171,"202520",NA,NA,13
8046524,"202510",0,7,7
8046524,"202520",NA,NA,7
8046613,"202510",NA,NA,NA
8046613,"202520",NA,NA,NA
8046911,"202510",0,0,0
8047746,"202510",0,12,12
8047893,"202510",0,6,6
8049390,"202510",NA,NA,NA
8049390,"202520",NA,NA,NA
8049419,"202510",0,26,26
8049767,"202510",0,28,28
8050561,"202510",0,9,9
8050561,"202520",NA,NA,9
8050565,"202510",0,9,9
8050777,"202510",NA,NA,NA
8050880,"202510",NA,NA,NA
8050882,"202510",1,1,1
8051472,"202510",0,41,41
8051545,"202510",0,9,9
8051545,"202520",NA,NA,9
8051960,"202510",0,37,37
8052697,"202510",0,16,16
8053165,"202510",0,3,3
8053497,"202510",0,16,16
8053929,"202510",0,10,10
8053929,"202520",NA,NA,10
8054010,"202510",1,10,10
8055646,"202510",NA,NA,NA
8055672,"202510",1,27,27
8055733,"202510",0,6,6
8056384,"202510",NA,NA,NA
8056384,"202520",NA,NA,NA
8056949,"202510",0,14,14
8057083,"202510",0,15,15
8057999,"202510",0,0,0
8057999,"202520",NA,NA,0
8059043,"202510",0,3,3
8059580,"202510",0,15,15
8059728,"202510",0,33,33
8059728,"202520",NA,NA,33
8060712,"202510",0,27,27
8061238,"202510",0,11,11
8061238,"202520",NA,NA,11
8061318,"202510",0,18,18
8061848,"202510",NA,NA,NA
8062031,"202510",0,15,15
8062215,"202510",NA,NA,NA
8062215,"202520",NA,NA,NA
8063741,"202510",0,24,24
8064301,"202510",NA,NA,NA
8071760,"202410",8,8,8
8071760,"202420",16,16,24
8071760,"202510",NA,NA,24
8071769,"202410",15,38,38
8071769,"202420",15,15,53
8071769,"202510",NA,NA,53
8071769,"202520",NA,NA,53
8078285,"202510",1,1,1
8078814,"202510",0,45,45
8078814,"202515",NA,NA,45
8079447,"202510",NA,NA,NA
8079447,"202515",NA,NA,NA
8079447,"202520",NA,NA,NA
8079808,"202410",15,15,15
8079808,"202420",17,17,32
8079808,"202430",3,12,44
8079808,"202510",NA,NA,44
8082698,"202410",10,10,10
8082698,"202415",3,3,13
8082698,"202420",8,8,21
8082698,"202510",0,46,67
8082698,"202515",NA,NA,67
8084216,"202410",6,6,6
8084216,"202420",3,3,9
8084216,"202510",NA,NA,9
8085468,"202410",16,39,39
8085468,"202420",17,17,56
8085468,"202510",NA,NA,56
8085741,"202410",15,37,37
8085741,"202420",12,12,49
8085741,"202510",NA,NA,49
8088041,"202410",15,15,15
8088041,"202420",14,14,29
8088041,"202510",0,0,29
8088162,"202410",14,14,14
8088162,"202420",12,12,26
8088162,"202510",NA,NA,26
8088163,"202410",16,16,16
8088163,"202420",8,8,24
8088163,"202510",0,0,24
8088846,"202410",15,15,15
8088846,"202420",14,14,29
8088846,"202510",NA,NA,29
8091615,"202410",12,24,24
8091615,"202420",15,15,39
8091615,"202510",0,0,39
8092370,"202410",14,14,14
8092370,"202420",11,11,25
8092370,"202510",NA,NA,25
8093446,"202410",16,23,23
8093446,"202420",11,11,34
8093446,"202510",0,0,34
8093858,"202410",17,44,44
8093858,"202415",3,3,47
8093858,"202420",12,12,59
8093858,"202510",NA,NA,59
8094275,"202410",12,74,74
8094275,"202415",3,3,77
8094275,"202420",12,12,89
8094275,"202430",8,8,97
8094275,"202510",NA,NA,97
8094275,"202515",NA,NA,97
8094689,"202410",15,47,47
8094689,"202420",16,16,63
8094689,"202510",NA,NA,63
8094793,"202410",15,29,29
8094793,"202420",13,13,42
8094793,"202510",NA,NA,42
8095052,"202410",13,28,28
8095052,"202420",14,14,42
8095052,"202510",NA,NA,42
8096120,"202410",17,29,29
8096120,"202420",17,17,46
8096120,"202510",NA,NA,46
8096247,"202410",16,22,22
8096247,"202420",14,14,36
8096247,"202510",NA,NA,36
8096785,"202410",15,15,15
8096785,"202420",14,14,29
8096785,"202510",NA,NA,29
8096793,"202410",15,19,19
8096793,"202420",15,15,34
8096793,"202510",NA,NA,34
8097103,"202410",15,33,33
8097103,"202420",12,12,45
8097103,"202510",NA,NA,45
8097201,"202410",15.5,15.5,15.5
8097201,"202420",17,17,32.5
8097201,"202510",NA,NA,32.5
8097337,"202410",15,40,40
8097337,"202420",12,12,52
8097337,"202510",NA,NA,52
8097337,"202520",NA,NA,52
8097617,"202410",17,60,60
8097617,"202420",15,15,75
8097617,"202510",NA,NA,75
8097917,"202410",17,26,26
8097917,"202420",17,17,43
8097917,"202510",NA,NA,43
8098459,"202410",15,36,36
8098459,"202420",12,12,48
8098459,"202510",NA,NA,48
8098511,"202410",15,22,22
8098511,"202420",15,15,37
8098511,"202510",NA,NA,37
8098637,"202410",15,54,54
8098637,"202420",16,16,70
8098637,"202510",NA,NA,70
8098693,"202410",15,15,15
8098693,"202420",16,16,31
8098693,"202510",NA,NA,31
8098995,"202410",16,19,19
8098995,"202420",12,12,31
8098995,"202510",NA,NA,31
8099721,"202410",15,15,15
8099721,"202415",3,3,18
8099721,"202420",15,15,33
8099721,"202510",NA,NA,33
8099820,"202410",15.5,15.5,15.5
8099820,"202420",14,14,29.5
8099820,"202510",NA,NA,29.5
8100116,"202410",18,18,18
8100116,"202420",15,15,33
8100116,"202510",NA,NA,33
8100342,"202410",16,33,33
8100342,"202420",15,15,48
8100342,"202510",NA,NA,48
8100342,"202520",NA,NA,48
8100526,"202410",16,16,16
8100526,"202420",13,13,29
8100526,"202430",0,4,NA
8100526,"202510",NA,NA,33
8100549,"202410",16,16,16
8100549,"202415",3,3,19
8100549,"202420",15,15,34
8100549,"202510",NA,NA,34
8100549,"202515",NA,NA,34
8100919,"202410",13.5,13.5,13.5
8100919,"202420",14,14,27.5
8100919,"202510",NA,NA,27.5
8101018,"202410",16,42,42
8101018,"202420",14,14,56
8101018,"202510",NA,NA,56
8101018,"202520",NA,NA,56
8101123,"202410",15,15,15
8101123,"202415",2,2,17
8101123,"202420",15,15,32
8101123,"202430",3,3,35
8101123,"202510",NA,NA,35
8101143,"202410",16,19,19
8101143,"202420",17,17,36
8101143,"202510",NA,NA,36
8101331,"202410",17,56,56
8101331,"202420",16,16,72
8101331,"202510",NA,NA,72
8101424,"202410",17,37,37
8101424,"202415",3,3,40
8101424,"202420",17,17,57
8101424,"202430",6,12,69
8101424,"202510",NA,NA,69
8101424,"202515",NA,NA,69
8101439,"202410",15,27,27
8101439,"202415",3,3,30
8101439,"202420",15,15,45
8101439,"202430",3,3,48
8101439,"202510",NA,NA,48
8101439,"202515",NA,NA,48
8101439,"202520",NA,NA,48
8101878,"202410",17,41,41
8101878,"202420",15,15,56
8101878,"202510",NA,NA,56
8102153,"202410",15,31,31
8102153,"202420",14,14,45
8102153,"202510",NA,NA,45
8102286,"202410",17,35,35
8102286,"202420",15,15,50
8102286,"202510",NA,NA,50
8102295,"202410",15,39,39
8102295,"202420",15,15,54
8102295,"202510",NA,NA,54
8102295,"202520",NA,NA,54
8102400,"202410",17,52,52
8102400,"202420",16,16,68
8102400,"202510",NA,NA,68
8102524,"202410",15,27,27
8102524,"202420",14,14,41
8102524,"202510",NA,NA,41
8102798,"202410",16,44,44
8102798,"202420",12,12,56
8102798,"202430",8,8,64
8102798,"202510",NA,NA,64
8102811,"202410",8,8,8
8102811,"202415",3,3,11
8102811,"202420",10,10,21
8102811,"202510",NA,NA,21
8102842,"202410",15,30,30
8102842,"202420",15,15,45
8102842,"202510",NA,NA,45
8102851,"202410",15,37,37
8102851,"202420",16,16,53
8102851,"202510",NA,NA,53
8102908,"202410",13,33,33
8102908,"202420",12,12,45
8102908,"202510",NA,NA,45
8103304,"202410",17,30,30
8103304,"202420",15,15,45
8103304,"202510",NA,NA,45
8103469,"202410",15,37,37
8103469,"202420",16,16,53
8103469,"202510",NA,NA,53
8103883,"202410",16,16,16
8103883,"202420",15,15,31
8103883,"202510",NA,NA,31
8103883,"202515",NA,NA,31
8103899,"202410",15,19,19
8103899,"202420",15,15,34
8103899,"202510",NA,NA,34
8104179,"202410",15,15,15
8104179,"202420",14,14,29
8104179,"202510",0,0,29
8104179,"202515",NA,NA,29
8104279,"202410",17,17,17
8104279,"202420",15,15,32
8104279,"202510",NA,NA,32
8104556,"202410",15,19,19
8104556,"202420",17,17,36
8104556,"202510",NA,NA,36
8104584,"202410",15,47,47
8104584,"202420",15,15,62
8104584,"202510",NA,NA,62
8104584,"202520",NA,NA,62
8104623,"202410",16,16,16
8104623,"202420",14,14,30
8104748,"202410",16,16,16
8104748,"202420",18,18,34
8104748,"202510",NA,NA,34
8104808,"202410",15,34,34
8104808,"202415",4,4,38
8104808,"202420",18,18,56
8104808,"202510",NA,NA,56
8104842,"202410",15,21,21
8104842,"202415",2,2,23
8104842,"202420",14,14,37
8104842,"202510",NA,NA,37
8104880,"202410",16,45,45
8104880,"202420",15,15,60
8104880,"202510",NA,NA,60
8105202,"202410",15,15,15
8105202,"202420",14,14,29
8105202,"202510",NA,NA,29
8105427,"202410",17,17,17
8105427,"202420",17,17,34
8105427,"202510",NA,NA,34
8105588,"202410",16,16,16
8105588,"202420",14,14,30
8105588,"202430",4,4,34
8105588,"202510",NA,NA,34
8105593,"202410",15,27,27
8105593,"202420",16,16,43
8105593,"202510",NA,NA,43
8105742,"202410",17,52,52
8105742,"202420",18,18,70
8105742,"202510",NA,NA,70
8105892,"202410",16,20,20
8105892,"202420",14,14,34
8105892,"202510",NA,NA,34
8106266,"202410",13,13,13
8106266,"202415",3,3,16
8106266,"202420",8,8,24
8106266,"202510",0,0,24
8107035,"202410",14,14,14
8107035,"202415",6,6,20
8107035,"202420",16,16,36
8107035,"202510",0,0,36
8107364,"202410",15,27,27
8107364,"202420",16,16,43
8107379,"202410",16,46,46
8107379,"202420",16,16,62
8107379,"202510",NA,NA,62
8107437,"202410",16,37,37
8107437,"202420",15,15,52
8107437,"202510",NA,NA,52
8107639,"202410",16,23,23
8108201,"202410",15,36,36
