"Student.ID","Gender","First.Generation.Indicator","Term.Code","Term.UG.Crs.GPA","Cum.UG.Crs.GPA"
8023864,"Male","Not First Generation College Stdnt",202510,NA,NA
8024720,"Male","Not First Generation College Stdnt",202510,NA,NA
8026176,"Male","First Generation College Stdnt",202510,NA,NA
8031298,"Female","Not First Generation College Stdnt",202510,NA,NA
8034088,"Male","First Generation College Stdnt",202510,NA,NA
8035324,"Male","Not First Generation College Stdnt",202510,NA,NA
8035775,"Female","Not First Generation College Stdnt",202510,NA,NA
8035951,"Female","Not First Generation College Stdnt",202510,NA,NA
8036132,"Male","Not First Generation College Stdnt",202510,NA,NA
8036194,"Male","Not First Generation College Stdnt",202510,NA,NA
8036672,"Male","First Generation College Stdnt",202510,NA,NA
8036698,"Female","Not First Generation College Stdnt",202510,NA,NA
8036831,"Male","Not First Generation College Stdnt",202510,NA,NA
8036913,"Male","Not First Generation College Stdnt",202510,NA,NA
8037690,"Male","Not First Generation College Stdnt",202510,NA,NA
8037772,"Male","Not First Generation College Stdnt",202510,NA,NA
8038501,"Male","Not First Generation College Stdnt",202510,NA,NA
8038521,"Female","Not First Generation College Stdnt",202510,NA,NA
8038546,"Male","Not First Generation College Stdnt",202510,NA,NA
8038562,"Female","Not First Generation College Stdnt",202510,NA,NA
8039444,"Female","Not First Generation College Stdnt",202510,NA,NA
8039868,"Male","Not First Generation College Stdnt",202510,NA,NA
8040059,"Male","Not First Generation College Stdnt",202510,NA,NA
8040075,"Male","Not First Generation College Stdnt",202510,NA,NA
8040219,"Female","Not First Generation College Stdnt",202510,NA,NA
8040445,"Female","First Generation College Stdnt",202510,NA,NA
8040552,"Female","Not First Generation College Stdnt",202510,NA,NA
8041080,"Male","Not First Generation College Stdnt",202510,NA,NA
8041446,"Male","Not First Generation College Stdnt",202510,NA,NA
8041624,"Female","Not First Generation College Stdnt",202510,NA,NA
8042057,"Female","Not First Generation College Stdnt",202510,NA,NA
8043161,"Male","Not First Generation College Stdnt",202510,NA,NA
8043208,"Male","Not First Generation College Stdnt",202510,NA,NA
8043424,"Male","Not First Generation College Stdnt",202510,NA,NA
8043792,"Male","First Generation College Stdnt",202510,NA,NA
8043826,"Male","Not First Generation College Stdnt",202510,NA,NA
8044066,"Female","First Generation College Stdnt",202510,NA,NA
8044808,"Male","Not First Generation College Stdnt",202510,NA,NA
8045712,"Male","Not First Generation College Stdnt",202510,NA,NA
8046171,"Female","Not First Generation College Stdnt",202510,NA,NA
8046524,"Female","Not First Generation College Stdnt",202510,NA,NA
8046613,"Male","Not First Generation College Stdnt",202510,NA,NA
8046911,"Male","Not First Generation College Stdnt",202510,NA,NA
8047746,"Male","Not First Generation College Stdnt",202510,NA,NA
8047893,"Male","Not First Generation College Stdnt",202510,NA,NA
8049390,"Male","Not First Generation College Stdnt",202510,NA,NA
8049419,"Male","Not First Generation College Stdnt",202510,NA,NA
8049767,"Male","Not First Generation College Stdnt",202510,NA,NA
8050112,"Female","First Generation College Stdnt",202510,NA,NA
8050561,"Male","Not First Generation College Stdnt",202510,NA,NA
8050565,"Male","Not First Generation College Stdnt",202510,NA,NA
8050777,"Female","Not First Generation College Stdnt",202510,NA,NA
8050880,"Female","Not First Generation College Stdnt",202510,NA,NA
8050882,"Male","Not First Generation College Stdnt",202510,NA,NA
8051472,"Male","Not First Generation College Stdnt",202510,NA,NA
8051545,"Male","Not First Generation College Stdnt",202510,NA,NA
8051960,"Male","Not First Generation College Stdnt",202510,NA,NA
8052697,"Male","Not First Generation College Stdnt",202510,NA,NA
8053165,"Male","First Generation College Stdnt",202510,NA,NA
8053497,"Male","Not First Generation College Stdnt",202510,NA,NA
8053929,"Male","Not First Generation College Stdnt",202510,NA,NA
8054010,"Male","Not First Generation College Stdnt",202510,NA,NA
8054660,"Female","Not First Generation College Stdnt",202510,NA,NA
8055646,"Male","Not First Generation College Stdnt",202510,NA,NA
8055672,"Female","Not First Generation College Stdnt",202510,NA,NA
8055733,"Male","Not First Generation College Stdnt",202510,NA,NA
8056384,"Female","Not First Generation College Stdnt",202510,NA,NA
8056949,"Female","Not First Generation College Stdnt",202510,NA,NA
8057083,"Male","Not First Generation College Stdnt",202510,NA,NA
8059043,"Male","Not First Generation College Stdnt",202510,NA,NA
8059580,"Female","First Generation College Stdnt",202510,NA,NA
8059728,"Male","Not First Generation College Stdnt",202510,NA,NA
8060075,"Male","Not First Generation College Stdnt",202510,NA,NA
8060712,"Female","First Generation College Stdnt",202510,NA,NA
8061238,"Female","Not First Generation College Stdnt",202510,NA,NA
8061318,"Male","Not First Generation College Stdnt",202510,NA,NA
8061828,"Female","First Generation College Stdnt",202510,NA,NA
8061848,"Female","Not First Generation College Stdnt",202510,NA,NA
8062031,"Female","First Generation College Stdnt",202510,NA,NA
8062215,"Male","Not First Generation College Stdnt",202510,NA,NA
8062572,"Male","First Generation College Stdnt",202510,NA,NA
8063263,"Male","Not First Generation College Stdnt",202510,NA,NA
8063741,"Male","Not First Generation College Stdnt",202510,NA,NA
8064301,"Male","First Generation College Stdnt",202510,NA,NA
8071760,"Male","Not First Generation College Stdnt",202410,1.28,1.28
8071760,"Male","Not First Generation College Stdnt",202420,2.61,1.97
8071760,"Male","Not First Generation College Stdnt",202510,NA,1.97
8071769,"Female","Not First Generation College Stdnt",202410,3.52,3.52
8071769,"Female","Not First Generation College Stdnt",202420,3.82,3.67
8071769,"Female","Not First Generation College Stdnt",202510,NA,3.67
8078285,"Male","Not First Generation College Stdnt",202510,NA,NA
8078814,"Female","Not First Generation College Stdnt",202510,NA,NA
8079447,"Female","Not First Generation College Stdnt",202510,NA,NA
8079808,"Male","Not First Generation College Stdnt",202410,3.83,3.83
8079808,"Male","Not First Generation College Stdnt",202420,3.29,3.53
8079808,"Male","Not First Generation College Stdnt",202510,NA,3.57
8082698,"Male","Not First Generation College Stdnt",202410,4,4
8082698,"Male","Not First Generation College Stdnt",202420,3.88,3.81
8082698,"Male","Not First Generation College Stdnt",202510,NA,3.81
8084216,"Female","First Generation College Stdnt",202420,2,1.56
8084216,"Female","First Generation College Stdnt",202510,NA,1.56
8084216,"Female","Not First Generation College Stdnt",202410,1.35,1.35
8085468,"Male","Not First Generation College Stdnt",202410,2.72,2.72
8085468,"Male","Not First Generation College Stdnt",202420,3.43,3.1
8085468,"Male","Not First Generation College Stdnt",202510,NA,3.1
8085741,"Male","Not First Generation College Stdnt",202410,3.58,3.58
8085741,"Male","Not First Generation College Stdnt",202420,3.75,3.65
8085741,"Male","Not First Generation College Stdnt",202510,NA,3.65
8088041,"Male","Not First Generation College Stdnt",202410,2.21,2.21
8088041,"Male","Not First Generation College Stdnt",202420,2.32,2.26
8088041,"Male","Not First Generation College Stdnt",202510,NA,2.26
8088162,"Male","Not First Generation College Stdnt",202410,3.48,3.48
8088162,"Male","Not First Generation College Stdnt",202420,3.33,3.41
8088162,"Male","Not First Generation College Stdnt",202510,NA,3.41
8088163,"Male","Not First Generation College Stdnt",202410,2.5,2.5
8088163,"Male","Not First Generation College Stdnt",202420,1.42,1.85
8088163,"Male","Not First Generation College Stdnt",202510,NA,1.85
8088846,"Male","Not First Generation College Stdnt",202410,2.01,2.01
8088846,"Male","Not First Generation College Stdnt",202420,2.26,2.13
8088846,"Male","Not First Generation College Stdnt",202510,NA,2.13
8091615,"Female","Not First Generation College Stdnt",202410,3.15,3.15
8091615,"Female","Not First Generation College Stdnt",202420,2.8,2.95
