"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Cum.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Student ID"
8023864,202510,NA,NA,NA,NA
8024720,202510,NA,NA,NA,NA
8024720,202520,NA,NA,NA,NA
8026176,202510,0,3,3,NA
8034088,202510,0,7,7,NA
8035324,202510,0,4,4,NA
8035775,202510,0,32,32,NA
8035951,202510,0,0,0,NA
8036132,202510,NA,NA,NA,NA
8036194,202510,0,26,26,NA
8036672,202510,0,17,17,NA
8036698,202510,1,1,1,NA
8036831,202510,NA,NA,NA,NA
8036913,202510,0,9,9,NA
8037690,202510,0,0,0,NA
8037772,202510,0,41,41,NA
8038501,202510,0,4,4,NA
8038546,202510,NA,NA,NA,NA
8038562,202510,0,3,3,NA
8039303,202510,0,37,37,NA
8039444,202510,0,42,42,NA
8039868,202510,0,11,11,NA
8040059,202510,0,6,6,NA
8040075,202510,NA,NA,NA,NA
8040219,202510,0,6,6,NA
8040552,202510,NA,NA,NA,NA
8041080,202510,0,19,19,NA
8041446,202510,1,7,7,NA
8041471,202510,0,41,41,NA
8041471,202520,NA,NA,41,NA
8041624,202510,0,24,24,NA
8042057,202510,1,20,20,NA
8043161,202510,0,10,10,NA
8043208,202510,0,15,15,NA
8043424,202510,NA,NA,NA,NA
8043792,202510,1,17,17,NA
8043826,202510,0,0,0,NA
8044066,202510,NA,NA,NA,NA
8045712,202510,0,34,34,NA
8045712,202520,NA,NA,34,NA
8046171,202510,0,13,13,NA
8046171,202520,NA,NA,13,NA
8046524,202510,0,7,7,NA
8046524,202520,NA,NA,7,NA
8046613,202510,NA,NA,NA,NA
8046613,202520,NA,NA,NA,NA
8046911,202510,0,0,0,NA
8047746,202510,0,12,12,NA
8047893,202510,0,6,6,NA
8049390,202510,NA,NA,NA,NA
8049390,202520,NA,NA,NA,NA
8049419,202510,0,26,26,NA
8049767,202510,0,28,28,NA
8050561,202510,0,9,9,NA
8050561,202520,NA,NA,9,NA
8050565,202510,0,9,9,NA
8050777,202510,NA,NA,NA,NA
8050880,202510,NA,NA,NA,NA
8050882,202510,1,1,1,NA
8051472,202510,0,41,41,NA
8051545,202510,0,9,9,NA
8051545,202520,NA,NA,9,NA
8051960,202510,0,37,37,NA
8052697,202510,0,16,16,NA
8053165,202510,0,3,3,NA
8053497,202510,0,16,16,NA
8053929,202510,0,10,10,NA
8053929,202520,NA,NA,10,NA
8054010,202510,1,10,10,NA
8055646,202510,NA,NA,NA,NA
8055672,202510,1,27,27,NA
8055733,202510,0,6,6,NA
8056384,202510,NA,NA,NA,NA
8056384,202520,NA,NA,NA,NA
8056949,202510,0,14,14,NA
8057083,202510,0,15,15,NA
8057999,202510,0,0,0,NA
8057999,202520,NA,NA,0,NA
8059043,202510,0,3,3,NA
8059580,202510,0,15,15,NA
8059728,202510,0,33,33,NA
8059728,202520,NA,NA,33,NA
8060712,202510,0,27,27,NA
8061238,202510,0,11,11,NA
8061238,202520,NA,NA,11,NA
8061318,202510,0,18,18,NA
8061848,202510,NA,NA,NA,NA
8062031,202510,0,15,15,NA
8062215,202510,NA,NA,NA,NA
8062215,202520,NA,NA,NA,NA
8063741,202510,0,24,24,NA
8064301,202510,NA,NA,NA,NA
8071760,202410,8,8,8,NA
8071760,202420,16,16,24,NA
8071760,202510,NA,NA,24,NA
8071769,202410,15,38,38,NA
8071769,202420,15,15,53,NA
8071769,202510,NA,NA,53,NA
8071769,202520,NA,NA,53,NA
8078285,202510,1,1,1,NA
8078814,202510,0,45,45,NA
8078814,202515,NA,NA,45,NA
8079447,202510,NA,NA,NA,NA
8079447,202515,NA,NA,NA,NA
8079447,202520,NA,NA,NA,NA
8079808,202410,15,15,15,NA
8079808,202420,17,17,32,NA
8079808,202430,3,12,44,NA
8079808,202510,NA,NA,44,NA
8082698,202410,10,10,10,NA
8082698,202415,3,3,13,NA
8082698,202420,8,8,21,NA
8082698,202510,0,46,67,NA
8082698,202515,NA,NA,67,NA
8084216,202410,6,6,6,NA
8084216,202420,3,3,9,NA
8084216,202510,NA,NA,9,NA
8085468,202410,16,39,39,NA
8085468,202420,17,17,56,NA
8085468,202510,NA,NA,56,NA
8085741,202410,15,37,37,NA
8085741,202420,12,12,49,NA
8085741,202510,NA,NA,49,NA
8088041,202410,15,15,15,NA
8088041,202420,14,14,29,NA
8088041,202510,0,0,29,NA
8088162,202410,14,14,14,NA
8088162,202420,12,12,26,NA
8088162,202510,NA,NA,26,NA
8088163,202410,16,16,16,NA
8088163,202420,8,8,24,NA
8088163,202510,0,0,24,NA
8088846,202410,15,15,15,NA
8088846,202420,14,14,29,NA
8088846,202510,NA,NA,29,NA
8091615,202410,12,24,24,NA
8091615,202420,15,15,39,NA
8091615,202510,0,0,39,NA
8092370,202410,14,14,14,NA
8092370,202420,11,11,25,NA
8092370,202510,NA,NA,25,NA
8093446,202410,16,23,23,NA
8093446,202420,11,11,34,NA
8093446,202510,0,0,34,NA
8093858,202410,17,44,44,NA
8093858,202415,3,3,47,NA
8093858,202420,12,12,59,NA
8093858,202510,NA,NA,59,NA
8094275,202410,12,74,74,NA
8094275,202415,3,3,77,NA
8094275,202420,12,12,89,NA
8094275,202430,8,8,97,NA
8094275,202510,NA,NA,97,NA
8094275,202515,NA,NA,97,NA
8094689,202410,15,47,47,NA
8094689,202420,16,16,63,NA
8094689,202510,NA,NA,63,NA
8094793,202410,15,29,29,NA
8094793,202420,13,13,42,NA
8094793,202510,NA,NA,42,NA
8095052,202410,13,28,28,NA
8095052,202420,14,14,42,NA
8095052,202510,NA,NA,42,NA
8096120,202410,17,29,29,NA
8096120,202420,17,17,46,NA
8096120,202510,NA,NA,46,NA
8096247,202410,16,22,22,NA
8096247,202420,14,14,36,NA
8096247,202510,NA,NA,36,NA
8096785,202410,15,15,15,NA
8096785,202420,14,14,29,NA
8096785,202510,NA,NA,29,NA
8096793,202410,15,19,19,NA
8096793,202420,15,15,34,NA
8096793,202510,NA,NA,34,NA
8097103,202410,15,33,33,NA
8097103,202420,12,12,45,NA
8097103,202510,NA,NA,45,NA
8097201,202410,15.5,15.5,15.5,NA
8097201,202420,17,17,32.5,NA
8097201,202510,NA,NA,32.5,NA
8097337,202410,15,40,40,NA
8097337,202420,12,12,52,NA
8097337,202510,NA,NA,52,NA
8097337,202520,NA,NA,52,NA
8097617,202410,17,60,60,NA
8097617,202420,15,15,75,NA
8097617,202510,NA,NA,75,NA
8097917,202410,17,26,26,NA
8097917,202420,17,17,43,NA
8097917,202510,NA,NA,43,NA
8098459,202410,15,36,36,NA
8098459,202420,12,12,48,NA
8098459,202510,NA,NA,48,NA
8098511,202410,15,22,22,NA
8098511,202420,15,15,37,NA
8098511,202510,NA,NA,37,NA
8098637,202410,15,54,54,NA
8098637,202420,16,16,70,NA
8098637,202510,NA,NA,70,NA
8098693,202410,15,15,15,NA
8098693,202420,16,16,31,NA
8098693,202510,NA,NA,31,NA
8098995,202410,16,19,19,NA
8098995,202420,12,12,31,NA
8098995,202510,NA,NA,31,NA
8099721,202410,15,15,15,NA
8099721,202415,3,3,18,NA
8099721,202420,15,15,33,NA
8099721,202510,NA,NA,33,NA
8099820,202410,15.5,15.5,15.5,NA
8099820,202420,14,14,29.5,NA
8099820,202510,NA,NA,29.5,NA
8100116,202410,18,18,18,NA
8100116,202420,15,15,33,NA
8100116,202510,NA,NA,33,NA
8100342,202410,16,33,33,NA
8100342,202420,15,15,48,NA
8100342,202510,NA,NA,48,NA
8100342,202520,NA,NA,48,NA
8100526,202410,16,16,16,NA
8100526,202420,13,13,29,NA
8100526,202430,0,4,NA,NA
8100526,202510,NA,NA,33,NA
8100549,202410,16,16,16,NA
8100549,202415,3,3,19,NA
8100549,202420,15,15,34,NA
8100549,202510,NA,NA,34,NA
8100549,202515,NA,NA,34,NA
8100919,202410,13.5,13.5,13.5,NA
8100919,202420,14,14,27.5,NA
8100919,202510,NA,NA,27.5,NA
8101018,202410,16,42,42,NA
8101018,202420,14,14,56,NA
8101018,202510,NA,NA,56,NA
8101018,202520,NA,NA,56,NA
8101123,202410,15,15,15,NA
8101123,202415,2,2,17,NA
8101123,202420,15,15,32,NA
8101123,202430,3,3,35,NA
8101123,202510,NA,NA,35,NA
8101143,202410,16,19,19,NA
8101143,202420,17,17,36,NA
