"Student.ID","Term.Code","Degree.Type","Degree","Major","Student.Division.Code","Student.Department.Code","Semesters.to.Degree.Average","AW...Major.Count"
"8129435",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",6,1
"8144902",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",6,1
"8144902",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",6,1
"8149335",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",6,1
"8164296",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",6,1
"8164296",202520,"Bachelor","B.S. in Business","Human Capital Mgmt& Leadership","FSB","MGT",6,1
"8178743",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8181140",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8181140",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8181775",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8181775",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8182276",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8182483",202520,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8182483",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8183371",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8183672",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8183672",202520,"Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8184225",202510,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8184369",202510,"Bachelor","B.S. in Business","Marketing","FSB","MKT",7,1
"8185334",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8185381",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8185381",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8185825",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8186192",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8186192",202520,"Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8186376",202520,"Bachelor","B.S. in Computer Science","Analytics","*NSD","*NSD",8,1
"8186376",202520,"Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8186466",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8187393",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8187578",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8188159",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8188216",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8188376",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8188396",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8189088",202510,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8189159",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8189686",202510,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8189730",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8189730",202520,"Bachelor","Bachelor of Arts","Spanish","CAS","SPN",8,1
"8189864",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8190065",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8190575",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8190708",202510,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8191039",202520,"Bachelor","B.S. in Business","Human Capital Mgmt& Leadership","FSB","MGT",8,1
"8191163",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8191163",202515,"Bachelor","B.S. in Business","Finance","FSB","FIN",7,1
"8191209",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8191401",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8191431",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8191448",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8191448",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8191595",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8191633",202510,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8191653",202420,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",6,1
"8191700",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8191700",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8191862",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8191921",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8191921",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8191938",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8192388",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8192462",202515,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8192597",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8192653",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8192696",202520,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8192894",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8192960",202510,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8192966",202520,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8192966",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193320",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193405",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193409",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193507",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193533",202510,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8193928",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8193985",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8194253",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8194253",202520,"Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194395",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8194665",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8194805",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8194805",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8195115",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8195153",202510,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",7,1
"8195158",202520,"Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8195188",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8195281",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8195689",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8195899",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8195925",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8196046",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8196844",202520,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8196920",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8197080",202520,"Bachelor","B.S. in Business","Environmental Science","CAS","IES",8,1
"8197080",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8197493",202520,"Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8197967",202520,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
