"Student.ID","Cohort.Term","Term.Code","Enrolled.Student.Count","Major.1","Major.2","Major.3","Major.4","Major.5","Major.6"
8023864,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8024720,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8026176,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8031298,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8034088,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8035324,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8035775,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8035951,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036132,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036194,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036672,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036698,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036831,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8036913,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8037690,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8037772,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8038501,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8038521,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8038546,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8038562,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8039444,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8039868,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8040059,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8040075,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8040219,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8040445,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8040552,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8041080,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8041446,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8041624,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8042057,202510,202510,1,"BA Major","Entrepreneurship",NA,NA,NA,NA
8043161,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8043208,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8043424,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8043792,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8043826,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8044066,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8044808,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8045712,202510,202510,1,"BA Major","Entrepreneurship",NA,NA,NA,NA
8046171,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8046524,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8046613,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8046911,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8047746,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8047893,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8049390,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8049419,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8049767,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050112,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050561,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050565,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050777,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050880,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8050882,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8051472,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8051545,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8051960,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8052697,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8053165,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8053497,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8053929,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8054010,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8054660,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8055646,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8055672,202510,202510,1,"BA Major","Entrepreneurship",NA,NA,NA,NA
8055733,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8056384,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8056949,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8057083,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8059043,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8059580,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8059728,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8060075,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8060712,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8061238,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8061318,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8061828,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8061848,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8062031,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
8062215,202510,202510,1,"BA Major",NA,NA,NA,NA,NA
