"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
"8098858","202410",16,16,16
"8098858","202420",15,15,31
"8108061","202410",15,39,39
"8108061","202420",14,14,53
"8108061","202510",NA,NA,53
"8109444","202410",15,53,53
"8109444","202420",17,17,70
"8109444","202510",NA,NA,70
"8110017","202410",16,16,16
"8110017","202420",14,14,30
"8110017","202510",NA,NA,30
"8113940","202410",14,27,27
"8113940","202420",17,17,44
"8113940","202510",NA,NA,44
"8115814","202410",17,17,17
"8115814","202420",15,15,32
"8115814","202510",NA,NA,32
"8118995","202410",15,40,40
"8118995","202420",16,16,56
"8118995","202510",NA,NA,56
"8118995","202520",NA,NA,56
"8119866","202410",15,38,38
"8119866","202420",15,15,53
"8119866","202510",NA,NA,53
"8125309","202230",3,3,3
"8125309","202410",15,36,39
"8125309","202420",14,14,53
"8125309","202510",NA,NA,53
"8125309","202520",NA,NA,53
"8132821","202310",15,39,39
"8132821","202320",15,15,54
"8132821","202410",15,15,69
"8136759","202310",17,36,36
"8136759","202320",19,19,55
"8136759","202410",15,15,70
"8136759","202420",15,15,85
"8136759","202510",NA,NA,85
"8136759","202515",NA,NA,85
"8136759","202520",NA,NA,85
"8144976","202310",15,32,32
"8144976","202320",16,16,48
"8144976","202410",15,15,63
"8144976","202420",15,15,78
"8144976","202510",NA,NA,78
"8144976","202520",NA,NA,78
"8147231","202310",16,53,53
"8147231","202320",15,15,68
"8147231","202410",15,15,83
"8147231","202420",15,15,98
"8147231","202510",NA,NA,98
"8149309","202310",16,25,25
"8149309","202320",16,16,41
"8149309","202410",13,13,54
"8149309","202420",15,15,69
"8149309","202510",NA,NA,69
"8151695","202310",15,42,42
"8151695","202320",13,13,55
"8151695","202330",3,3,58
"8151695","202410",15,15,73
"8151695","202420",17,17,90
"8151695","202510",NA,NA,90
"8151695","202515",NA,NA,90
"8152749","202310",16,16,16
"8152749","202320",15,15,31
"8152749","202410",15,15,46
"8152749","202420",14,14,60
"8152749","202510",2,2,62
"8160693","202310",15,24,24
"8160693","202320",14,14,38
"8160693","202410",13,13,51
"8160693","202420",15,15,66
"8160693","202510",NA,NA,66
"8166210","202310",16,29,29
"8166210","202320",16,16,45
"8166210","202330",6,6,51
"8166210","202410",16,16,67
"8166210","202415",3,3,70
"8166210","202420",15,15,85
"8166210","202510",NA,NA,85
"8183049","202210",15,64,64
"8183049","202220",15,15,79
"8183049","202310",15,15,94
"8183049","202330",9,9,103
"8183049","202410",15,15,118
"8183049","202420",16,16,134
"8183049","202510",NA,NA,134
"8183142","202210",10,20,20
"8183142","202220",17,17,37
"8183142","202230",3,3,40
"8183142","202310",15,15,55
"8183142","202320",14,14,69
"8183142","202410",15,15,84
"8183142","202420",15,15,99
"8183142","202430",6,6,105
"8183142","202510",NA,NA,105
"8185339","202210",18,44,44
"8185339","202220",19,19,63
"8185339","202310",18,18,81
"8185339","202320",15,15,96
"8185339","202330",6,6,102
"8185339","202410",15,15,117
"8185339","202420",18,18,135
"8185339","202510",NA,NA,135
"8188789","202210",12,27,27
"8188789","202220",15,15,42
"8188789","202310",12,12,54
"8188789","202315",3,3,57
"8188789","202320",12,12,69
"8188789","202410",12,17,86
"8188789","202415",3,3,89
"8188789","202420",10,10,99
"8188789","202510",NA,NA,99
"8189765","202210",12,36,36
"8189765","202220",16,16,52
"8189765","202310",15,15,67
"8189765","202320",12,12,79
"8189765","202410",15,15,94
"8189765","202420",12,12,106
"8189765","202510",NA,NA,106
"8190053","202310",16,70,70
"8190053","202315",3,3,73
"8190053","202320",13,13,86
"8190053","202410",12,12,98
"8190053","202415",6,6,104
"8190053","202420",12,12,116
"8190053","202430",6,6,122
"8190053","202510",NA,NA,122
"8190053","202515",NA,NA,122
"8190645","202210",16,27,27
"8190645","202220",17,17,44
