"Student.ID","Term.Code","Degree.Type","Degree","Major","Student.Division.Code","Student.Department.Code","Semesters.to.Degree.Average","AW.-.Major.Count"
"8183142","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8185339","202520","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8185339","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8188789","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8189765","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8190053","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",6,1
"8190645","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8190732","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8193517","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194067","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194253","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8194253","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194429","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8196411","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8197248","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8197334","202510","Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8201100","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8201100","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8201508","202520","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8201508","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8201904","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8203154","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8203154","202520","Bachelor","Bachelor of Arts in Theatre","Theatre","CCA","THE",8,1
"8203997","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8204070","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8204796","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8205621","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8205621","202520","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8205774","202515","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",7,1
"8207043","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8208211","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8208211","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8218558","202510","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",7,1
"8223835","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8226272","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8226272","202420","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8226542","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8230669","202420","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8230669","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8230735","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8230735","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8231350","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8231569","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8231842","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8232786","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8233515","202420","Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8233844","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8234195","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235359","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235554","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8235697","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235926","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8236079","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8237411","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8238330","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8238330","202420","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8239231","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8239643","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8240060","202420","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8240157","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8242006","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8242443","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8243519","202420","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8243906","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8245801","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8246329","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
