"Student.ID","Enrolled.Student.Count","maxCredits","DegreeObtained","Major","StartingTerm","MostRecentTerm","Cum.UG.Crs.GPA","FirstSemester","AdvancedClasses","ChangedMajor","PrimaryTermCount","TwoMajors"
"8023864","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8024720","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8026176","1",3,0,"BA Major",202510,202510,0,1,0,0,1,0
"8031298","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8034088","1",7,0,"BA Major",202510,202510,0,1,0,0,1,0
"8035324","1",4,0,"BA Major",202510,202510,0,1,0,0,1,0
"8035775","1",32,0,"BA Major",202510,202510,0,1,0,0,1,0
"8035951","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036132","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036194","1",26,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036672","1",17,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036698","1",1,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036831","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8036913","1",9,0,"BA Major",202510,202510,0,1,0,0,1,0
"8037690","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8037772","1",41,0,"BA Major",202510,202510,0,1,0,0,1,0
"8038501","1",4,0,"BA Major",202510,202510,0,1,0,0,1,0
"8038521","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8038546","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8038562","1",3,0,"BA Major",202510,202510,0,1,0,0,1,0
"8039444","1",42,0,"BA Major",202510,202510,0,1,0,0,1,0
"8039868","1",11,0,"BA Major",202510,202510,0,1,0,0,1,0
"8040059","1",6,0,"BA Major",202510,202510,0,1,0,0,1,0
"8040075","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8040219","1",6,0,"BA Major",202510,202510,0,1,0,0,1,0
"8040445","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8040552","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8041080","1",19,0,"BA Major",202510,202510,0,1,0,0,1,0
"8041446","1",7,0,"BA Major",202510,202510,0,1,0,0,1,0
"8041624","1",24,0,"BA Major",202510,202510,0,1,0,0,1,0
"8042057","1",20,0,"BA Major",202510,202510,0,1,0,0,1,1
